               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.019569,           0.0087886,          0.00085496,             0.99787,                   1,               0.995,             0.82801,            0.016854,           0.0025596,           0.0005063,            0.001222,            0.001222,            0.001222
                 135,            0.018699,           0.0084245,           0.0014639,             0.99788,                   1,               0.995,             0.82455,            0.015984,            0.002521,          0.00050466,            0.001156,            0.001156,            0.001156
                 136,            0.019506,           0.0085592,           0.0012186,             0.99792,                   1,               0.995,             0.81743,            0.016239,           0.0025412,          0.00050129,             0.00109,             0.00109,             0.00109
                 137,            0.018522,           0.0084553,          0.00089279,             0.99791,                   1,               0.995,              0.8211,            0.016529,           0.0025506,          0.00049758,            0.001024,            0.001024,            0.001024
                 138,            0.018479,           0.0082182,          0.00066058,             0.99787,                   1,               0.995,             0.82297,             0.01597,           0.0025338,           0.0004897,            0.000958,            0.000958,            0.000958
                 139,            0.018822,           0.0086324,          0.00089675,             0.99799,                   1,               0.995,             0.83249,            0.015326,           0.0025033,          0.00048704,            0.000892,            0.000892,            0.000892
                 140,            0.019216,           0.0084441,           0.0010657,             0.99826,                   1,               0.995,             0.82335,            0.015985,           0.0025318,          0.00047917,            0.000826,            0.000826,            0.000826
                 141,            0.018872,           0.0089302,           0.0010139,             0.99842,                   1,               0.995,             0.82193,            0.015932,           0.0025226,          0.00046376,             0.00076,             0.00076,             0.00076
                 142,            0.019157,           0.0086789,          0.00091402,             0.99857,                   1,               0.995,             0.82921,            0.015414,           0.0024847,          0.00045655,            0.000694,            0.000694,            0.000694
                 143,             0.01801,           0.0079856,           0.0011534,             0.99856,                   1,               0.995,             0.82581,            0.015104,           0.0024704,          0.00045262,            0.000628,            0.000628,            0.000628
                 144,            0.018282,           0.0085451,          0.00067122,             0.99854,                   1,               0.995,             0.82594,            0.015232,           0.0024699,          0.00045344,            0.000562,            0.000562,            0.000562
                 145,            0.018139,           0.0083848,          0.00078557,             0.99852,                   1,               0.995,             0.82176,             0.01539,           0.0024754,          0.00045667,            0.000496,            0.000496,            0.000496
                 146,             0.01881,           0.0079858,           0.0015708,             0.99846,                   1,               0.995,             0.83431,            0.015257,           0.0024748,          0.00045287,             0.00043,             0.00043,             0.00043
                 147,            0.018331,           0.0086052,          0.00082065,             0.99848,                   1,               0.995,             0.82734,            0.015317,           0.0024845,          0.00044917,            0.000364,            0.000364,            0.000364
                 148,            0.018059,           0.0079869,           0.0015151,             0.99849,                   1,               0.995,             0.82541,            0.015376,           0.0024911,          0.00044603,            0.000298,            0.000298,            0.000298
                 149,            0.018312,           0.0082745,           0.0011339,             0.99847,                   1,               0.995,             0.82106,            0.015489,           0.0024968,          0.00044761,            0.000232,            0.000232,            0.000232
